App,TestClass,TestFilePath,FixClass,FixFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Total Reduction,Total Increase,MOSS Result,MOSS Test Score,MOSS Fix Score
Adyen/adyen-java-api-library,CheckoutTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CheckoutTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,CheckoutTest_1104402.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\CheckoutTest_1104402.java,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,http://moss.stanford.edu/results/1/9294083377785,59%,58%
Adyen/adyen-java-api-library,SaleToAcquirerDataSerializerTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SaleToAcquirerDataSerializerTest_b8a8de526a271b4929547103a198ad5d1b1c528d.java,SaleToAcquirerDataSerializerTest_1104402.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\SaleToAcquirerDataSerializerTest_1104402.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,http://moss.stanford.edu/results/6/7956552639111,93%,85%
alibaba/fastjson,Issue1584_23070b2ccd30c5bb3d78e735b098f835756a190a.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue1584_23070b2ccd30c5bb3d78e735b098f835756a190a.java,Issue1584_433398d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\Issue1584_433398d.java,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,http://moss.stanford.edu/results/8/231980493731,92%,83%
alibaba/fastjson,Issue2430_8d94a61687408d722eb0458390838608ce7a7d99.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\Issue2430_8d94a61687408d722eb0458390838608ce7a7d99.java,Issue2430_979148d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\Issue2430_979148d.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,http://moss.stanford.edu/results/1/9772934069364,80%,73%
alibaba/fastjson,JSONPath_reverse_test_433398d5fdff70e4f719b28d21a71ec13b625c71.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\JSONPath_reverse_test_433398d5fdff70e4f719b28d21a71ec13b625c71.java,JSONPath_reverse_test_6e956d2.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\JSONPath_reverse_test_6e956d2.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,1,http://moss.stanford.edu/results/1/7445627104408,66%,49%
alibaba/fastjson,FastJsonpHttpMessageConverter4Case1Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\FastJsonpHttpMessageConverter4Case1Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,FastJsonpHttpMessageConverter4Case1Test_1c520a9.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\FastJsonpHttpMessageConverter4Case1Test_1c520a9.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,http://moss.stanford.edu/results/7/4064560165602,97%,92%
alibaba/fastjson,FastJsonpHttpMessageConverter4Case2Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\FastJsonpHttpMessageConverter4Case2Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,FastJsonpHttpMessageConverter4Case2Test_1c520a9.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\FastJsonpHttpMessageConverter4Case2Test_1c520a9.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,http://moss.stanford.edu/results/0/6339988020222,97%,93%
alibaba/fastjson,FastJsonpHttpMessageConverter4Case3Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\FastJsonpHttpMessageConverter4Case3Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,FastJsonpHttpMessageConverter4Case3Test_1c520a9.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\FastJsonpHttpMessageConverter4Case3Test_1c520a9.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,http://moss.stanford.edu/results/9/3186075851294,97%,93%
apache/camel,GsonFieldNamePolicyTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\GsonFieldNamePolicyTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,GsonFieldNamePolicyTest_1032139.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\GsonFieldNamePolicyTest_1032139.java,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,http://moss.stanford.edu/results/7/7277885136167,88%,80%
apache/camel,GsonMarshalExclusionTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\GsonMarshalExclusionTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,GsonMarshalExclusionTest_1032139.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\fixes\GsonMarshalExclusionTest_1032139.java,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,http://moss.stanford.edu/results/5/5002457281547,95%,87%
